# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 1
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_1.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.176485
# Diagonal elements of inverse mass matrix:
# 0.00889332, 1.49115, 0.0174788, 0.00778331
-63.6881,0.998769,0.126388,4,31,0,67.5548,0.143968,0.65546,1.19845,0.060312,3.14397,20.2521,0.801617,3.06031
-63.6766,0.988027,0.126381,3,7,0,64.1252,0.136401,0.663069,1.21661,0.0494114,3.1364,20.3072,0.80611,3.04941
-64.2906,0.964961,0.203598,3,11,0,64.5289,0.109124,0.8145,1.19064,0.0621871,3.10912,21.4051,0.799684,3.06219
-64.9521,0.97465,0.252551,2,7,0,65.961,0.0549711,0.707514,1.24405,0.0514056,3.05497,20.6295,0.812904,3.05141
-66.0909,0.987015,0.13826,4,31,0,69.5426,-0.0460371,-0.965727,1.27857,0.157989,2.95396,8.49848,0.821447,3.15799
-68.2843,0.979227,0.149402,4,15,0,69.214,0.0568853,-1.78338,1.27456,0.180361,3.05689,2.57046,0.820454,3.18036
-68.1558,0.839281,0.173185,4,31,0,74.0186,0.0599294,1.24343,1.11068,-0.00539652,3.05993,24.5149,0.779893,2.9946
-66.3949,0.999414,0.19457,4,23,0,69.0116,0.121517,-0.472499,1.34669,0.152467,3.12152,12.0744,0.838306,3.15247
-66.4677,0.991838,0.220226,4,15,0,69.7382,0.307801,1.42731,1.27744,0.159831,3.3078,25.848,0.821166,3.15983
-69.2072,0.950135,0.146965,5,31,0,72.4117,0.0221517,0.5835,0.988504,-0.157772,3.02215,19.7304,0.749655,2.84223
-69.0719,0.706332,0.216211,4,15,0,76.1004,0.160624,-0.460631,1.07437,-0.154773,3.16062,12.1604,0.770906,2.84523
-67.4332,0.804994,0.252897,3,7,0,73.2772,0.0739873,0.549992,1.00412,-0.186356,3.07399,19.4874,0.753519,2.81364
-67.734,0.894397,0.1965,4,15,0,70.5332,0.0783958,0.0174449,0.98659,-0.175714,3.0784,15.6265,0.749181,2.82429
-65.0821,0.999199,0.159567,4,15,0,69.0311,-0.0390463,-0.6054,1.12194,-0.0552028,2.96095,11.1109,0.782681,2.9448
-63.9203,0.971857,0.128641,5,31,0,66.313,0.12795,0.689104,1.25611,0.0893092,3.12795,20.496,0.815887,3.08931
-65.0173,0.96548,0.219054,5,31,0,65.9365,0.0406266,-1.2266,1.20651,0.022125,3.04063,6.60714,0.803611,3.02213
-64.8068,0.994425,0.251266,3,15,0,68.2447,0.100369,-0.562522,1.26575,0.160069,3.10037,11.4217,0.818272,3.16007
-64.8453,0.953514,0.248776,4,15,0,66.8417,0.11903,0.0990188,1.33927,0.172822,3.11903,16.2179,0.83647,3.17282
-63.6251,0.99936,0.140097,5,31,0,65.0744,0.124878,0.29016,1.23793,0.106429,3.12488,17.6037,0.811388,3.10643
-63.4727,0.97874,0.16654,4,15,0,64.2795,0.0717158,-0.127516,1.25045,0.0971581,3.07172,14.5755,0.814486,3.09716
-64.7855,0.950272,0.178088,4,15,0,65.7992,-0.0339941,-0.77948,1.16677,0.0217813,2.96601,9.84877,0.793776,3.02178
