time,ST1,ST2,ST3,ST4
455.0166667,1182.712948,186.2180094,274.4794545,75.15539704
460.0166667,780.4014884,101.2256243,255.2419367,68.16759452
465.0166667,895.9404775,149.0493984,267.3247433,62.92097688
470.0166667,1259.74504,210.1267872,258.963022,65.93301071
475.0166667,1257.402063,201.2315985,230.1468261,62.68321829
480.0166667,1265.036298,201.0412053,210.5895967,53.95856442
485.0166667,888.2716306,131.430377,186.1744633,55.05530591
490.0166667,1035.711276,207.1137025,194.1895886,53.84803757
495.0166667,1277.546341,256.5352175,187.3077153,52.81109843
500.0166667,878.9711522,133.8184578,138.8268855,40.2885832
505.0166667,1034.654001,173.1693737,137.1922596,34.95445749
510.0166667,1266.631877,227.2726629,146.5438361,40.43414121
515.0166667,1280.092631,232.0541873,117.0407997,32.84709715
520.0166667,1262.337043,224.3836714,123.1273792,36.36251677
525.0166667,896.007122,130.3143303,116.8392602,34.49051605
530.0166667,1265.158188,209.9926869,95.08910269,28.32210787
535.0333333,1063.390274,178.1674989,96.20433359,28.1998088
540.0166667,1173.170488,209.1536408,80.42627693,22.4611227
545.0166667,996.864546,181.0453969,99.34637774,24.6759996
550.0166667,1021.436367,201.6063008,104.9816083,27.11605625
555.0166667,923.6660195,173.6560355,152.8115329,45.93314188
560.0166667,760.411314,131.5425451,152.8645432,51.73244998
565.0166667,974.9293278,171.0406092,232.7662006,83.87204409
570.0166667,884.1372773,154.733035,270.7259958,106.4135713
575.0166667,750.5175179,125.6309149,291.3215489,124.4073697
580.0166667,939.8820187,184.1545515,351.7828377,149.9224583
585.0333333,1063.949687,210.0424159,421.9110001,169.6571095
590.0166667,754.0395885,154.4462219,487.565794,197.7599934
595.0166667,1043.553564,215.1399762,516.1722979,208.9239007
600.0166667,746.3716964,139.6869055,480.5854916,192.8924275
605.0166667,859.7307536,182.2939961,548.2264461,220.6680104
610.0166667,1085.538375,242.4302915,506.074432,202.9654227
615.0166667,937.9139198,207.8520836,525.1594426,211.5752961
620.0166667,729.8092429,137.5596208,518.7834593,215.749544
625.0166667,1156.583184,253.9771861,437.2459887,185.0548698
630.0166667,787.1934815,161.2051266,418.6648006,172.4376372
635.0166667,1064.02538,234.5403837,361.2854416,155.792424
640.0166667,932.1590981,199.6411018,407.9767545,167.1851547
645.0166667,1160.391681,274.3167264,321.9003601,133.9133993
650.0166667,1198.895828,292.6675118,385.7672156,146.4776427
655.0166667,1207.408468,293.2051924,331.8439039,125.6154137
660.0166667,1173.875099,289.1833422,273.6645978,108.2476001
665.0166667,981.6919471,214.1884119,285.4748915,108.2914483
670.0166667,1151.587167,265.7211799,285.8996027,106.0225425
675.0166667,957.6167989,213.830872,224.7513933,86.12115174
680.0166667,1059.939422,245.7317092,217.2642711,79.0891967
685.0166667,1199.536656,298.2796578,218.8971864,76.52629281
690.0166667,1308.936684,327.5130209,157.9121423,54.95500481
695.0166667,1257.040186,313.5579701,175.8264003,58.44845467
700.0166667,1361.061851,313.8637645,142.8028304,49.99181981
705.0166667,1016.336089,209.8725091,141.1211183,47.20310667
710.0166667,1130.01747,261.0310501,135.5892546,41.45338907
715.0166667,899.3462091,189.0806882,115.1621026,34.4469279
720.0166667,1210.729781,278.3722548,112.07394,31.08407922
725.0166667,1028.842551,236.3229223,120.0175847,34.1417585
730.0166667,1103.800094,260.5649378,108.2854801,32.36672409
735.0166667,815.7502466,184.063078,143.1440448,41.39323646
740.0166667,1025.154044,236.7629691,182.766487,49.88931998
745.0333333,687.8246808,153.3522412,199.6051422,51.65299169
750.0166667,829.7840959,192.2678926,251.2694189,65.6394103
755.0166667,937.7719152,232.6893814,249.5443081,70.95998873
760.0166667,962.709672,243.0023552,326.4944639,90.76913385
765.0166667,744.6443345,181.2556913,423.7197671,117.3701516
770.0166667,922.028963,243.0865484,407.4006036,115.1896805
775.0166667,776.9826863,198.6309559,435.708587,127.7220217
780.0166667,773.3965174,203.1721138,491.5966996,148.5773842
785.0166667,881.4046025,242.1445355,473.5222855,139.6520718
790.0166667,441.8598981,140.5670475,304.7280736,89.25591681
795.0166667,669.071427,173.8565359,370.2327885,130.8824816
800.0166667,731.932928,186.0116643,429.211343,143.6299945
805.0166667,930.6227048,245.779527,419.4486824,142.7846267
810.0166667,790.5414614,195.5371833,369.5688172,122.5710784
815.0333333,897.7919626,221.5932521,367.4043513,123.444418
820.0166667,1027.25879,269.6665162,380.4057389,113.8002938
825.0166667,338.9313371,93.28857264,119.6864555,39.42910342
830.0166667,1024.618436,239.727854,304.291825,98.66563694
835.0166667,1092.887392,251.4322815,277.1587237,90.90530313
840.0166667,912.3367022,173.6170041,274.0132878,92.27295429
845.0166667,976.5532003,201.2226448,237.462231,77.44650849
